Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,RCC_acceptance
47.0,Travel_Rarely,1454.0,Sales,2.0,4,Life Sciences,1,925,4,Female,65,2,1,Sales Representative,4,Single,3294,13137,1,Y,Yes,18,3,1,80,0,3,3,2,3,2,1,2,0.5981299911812072
43.0,Travel_Rarely,531.0,Sales,4.0,4,Marketing,1,1293,4,Female,56,2,3,Sales Executive,4,Single,10231,20364,3,Y,No,14,3,4,80,0,23,3,4,21,7,15,17,0.0889621383328419
44.0,Travel_Rarely,625.0,Research & Development,4.0,3,Medical,1,852,4,Male,50,3,2,Healthcare Representative,2,Single,5933,5197,9,Y,No,12,3,4,80,0,10,2,2,5,2,2,3,0.14139307467927667
40.0,Travel_Rarely,1171.0,Research & Development,10.0,4,Life Sciences,1,483,4,Female,46,4,1,Laboratory Technician,3,Married,2213,22495,3,Y,Yes,13,3,3,80,1,10,3,3,7,7,1,7,0.0466560574003915
22.0,Travel_Rarely,581.0,Research & Development,1.0,2,Life Sciences,1,2007,4,Male,63,3,1,Research Scientist,3,Single,3375,17624,0,Y,No,12,3,4,80,0,4,2,4,3,2,1,2,0.03228913273878286
30.0,Travel_Frequently,1312.0,Research & Development,2.0,4,Technical Degree,1,1745,4,Female,78,2,1,Research Scientist,1,Single,4968,26427,0,Y,No,16,3,4,80,0,10,2,3,9,7,0,7,0.15941574120268315
29.0,Travel_Frequently,461.0,Research & Development,1.0,3,Life Sciences,1,1753,4,Male,70,4,2,Healthcare Representative,3,Single,6294,23060,8,Y,Yes,12,3,4,80,0,10,5,4,3,2,0,2,0.2768307059557006
36.0,Travel_Rarely,885.0,Research & Development,16.0,4,Life Sciences,1,1042,3,Female,43,4,1,Laboratory Technician,1,Single,2743,8269,1,Y,No,16,3,3,80,0,18,1,3,17,13,15,14,0.08471686956671884
47.0,Non-Travel,666.0,Research & Development,29.0,4,Life Sciences,1,376,1,Male,88,3,3,Manager,2,,11849,10268,1,Y,Yes,12,3,4,80,1,10,2,2,10,7,9,9,0.20259926246329013
34.0,Travel_Frequently,829.0,Research & Development,15.0,3,Medical,1,1485,2,Male,71,3,4,Research Director,1,Divorced,17007,11929,7,Y,No,14,3,4,80,2,16,3,2,14,8,6,9,0.04706778244880937
31.0,Travel_Frequently,307.0,Research & Development,29.0,2,Medical,1,355,3,Male,71,2,1,Laboratory Technician,2,Single,3479,11652,0,Y,No,11,3,2,80,0,6,2,4,5,4,1,4,0.30806193607253324
47.0,Travel_Rarely,983.0,Research & Development,2.0,2,Medical,1,574,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4,0.0062284981704092985
32.0,Travel_Rarely,601.0,Sales,7.0,5,Marketing,1,1446,4,Male,97,3,2,Sales Executive,4,Married,9204,23343,4,Y,No,12,3,3,80,1,7,3,2,4,3,0,3,0.054407538478808255
38.0,Travel_Rarely,322.0,Sales,7.0,2,Medical,1,382,1,Female,44,4,2,Sales Executive,1,Divorced,5605,19191,1,Y,Yes,24,4,3,80,1,8,3,3,8,0,7,7,0.43143465099254813
33.0,Travel_Rarely,1242.0,Sales,8.0,4,Life Sciences,1,1560,1,Male,46,3,2,Sales Executive,1,Married,6392,10589,2,Y,No,13,3,4,80,1,8,6,1,2,2,2,2,0.14005561295993701
55.0,Travel_Rarely,,Sales,26.0,5,Marketing,1,1578,3,Male,60,2,5,Manager,4,Married,19586,23037,1,Y,No,21,4,3,80,1,36,3,3,36,6,2,13,0.01117082617581874
27.0,Travel_Rarely,618.0,Research & Development,4.0,3,Life Sciences,1,933,2,Female,76,3,1,Research Scientist,3,Single,2318,17808,1,Y,No,19,3,3,80,0,1,2,3,1,1,0,0,0.11162216549437386
33.0,Travel_Rarely,586.0,Sales,1.0,3,Medical,1,855,1,Male,48,4,2,Sales Executive,1,Divorced,4037,21816,1,Y,No,22,4,1,80,1,9,5,3,9,8,0,8,0.016324820215774156
44.0,Travel_Rarely,1467.0,Research & Development,20.0,3,Life Sciences,1,1475,4,Male,49,3,1,Research Scientist,2,Single,3420,21158,1,Y,No,13,3,3,80,0,6,3,2,5,2,1,3,0.07186475024611574
34.0,Travel_Rarely,470.0,Research & Development,2.0,4,Life Sciences,1,339,4,Male,84,2,2,Manufacturing Director,1,Married,5957,23687,6,Y,No,13,3,2,80,1,13,3,3,11,9,5,9,0.059660914613577566
30.0,Travel_Rarely,305.0,Research & Development,16.0,3,Life Sciences,1,1763,3,Male,58,4,2,Healthcare Representative,3,Married,5294,9128,3,Y,No,16,3,3,80,1,10,3,3,7,0,1,7,0.01236351554789141
,Travel_Rarely,1066.0,Research & Development,2.0,2,Medical,1,1018,4,Male,32,4,2,Manufacturing Director,4,Married,5472,3334,1,Y,No,12,3,2,80,0,8,2,3,8,7,1,3,0.0036398787066265394
40.0,Travel_Frequently,791.0,Research & Development,2.0,2,Medical,1,807,3,Female,38,4,2,Healthcare Representative,2,Married,4244,9931,1,Y,No,24,4,4,80,1,8,2,3,8,7,3,7,0.00437465749644573
37.0,Travel_Rarely,799.0,Research & Development,1.0,3,Technical Degree,1,623,2,Female,59,3,3,Manufacturing Director,4,Single,7491,23848,4,Y,No,17,3,4,80,0,12,3,4,6,5,1,2,0.06055889161126392
36.0,Travel_Rarely,1456.0,Sales,13.0,5,Marketing,1,1733,2,Male,96,2,2,Sales Executive,1,Divorced,6134,8658,5,Y,Yes,13,3,2,80,3,16,3,3,2,2,2,2,0.5240789493457153
,Travel_Rarely,882.0,Sales,,4,Life Sciences,1,984,4,Male,92,3,3,Sales Executive,4,Divorced,7823,6812,6,Y,No,13,3,2,80,1,12,2,3,10,9,0,8,0.006922506693720851
40.0,Non-Travel,218.0,Research & Development,8.0,1,Medical,1,1468,4,Male,55,2,3,Research Director,2,Divorced,13757,25178,2,Y,No,11,3,3,80,1,16,5,3,9,8,4,8,0.0006663046545817177
41.0,Non-Travel,,Research & Development,,2,Life Sciences,1,1210,1,Male,95,2,1,Research Scientist,1,Divorced,2107,20293,6,Y,No,17,3,1,80,1,5,2,1,1,0,0,0,0.3006794121791201
,Travel_Rarely,1434.0,Research & Development,,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,0.9015832281495697
,Travel_Rarely,1217.0,Research & Development,1.0,3,Medical,1,1834,3,Female,67,3,1,Research Scientist,1,Married,3591,12719,1,Y,No,25,4,3,80,1,3,3,3,3,2,1,2,0.03260804306185614
38.0,Travel_Rarely,702.0,Sales,1.0,4,Life Sciences,1,230,1,Female,59,2,2,Sales Executive,4,Single,8686,12930,4,Y,No,22,4,3,80,0,12,2,4,8,3,0,7,0.0769323760948371
40.0,Travel_Rarely,1342.0,Sales,9.0,2,Medical,1,1548,1,Male,47,3,2,Sales Executive,1,Married,5473,19345,0,Y,No,12,3,4,80,0,9,5,4,8,4,7,1,0.09011151359001997
32.0,Non-Travel,1200.0,Research & Development,1.0,4,Technical Degree,1,1574,4,Male,62,3,2,Research Scientist,1,Married,4087,25174,4,Y,No,14,3,2,80,1,9,3,2,6,5,1,2,0.08405333858047542
38.0,Travel_Frequently,1186.0,Research & Development,,4,Other,1,1060,3,Male,44,3,1,Research Scientist,3,Married,2821,2997,3,Y,No,16,3,1,80,1,8,2,3,2,2,2,2,0.07100285639198098
33.0,Travel_Rarely,350.0,Sales,,3,Marketing,1,485,4,Female,34,3,1,Sales Representative,3,Single,2851,9150,1,Y,Yes,13,3,2,80,0,1,2,3,1,0,0,0,0.7473374018882405
38.0,Non-Travel,1327.0,Sales,2.0,2,Life Sciences,1,361,4,Male,39,2,2,Sales Executive,4,Married,5249,19682,3,Y,No,18,3,4,80,1,13,0,3,8,7,7,5,0.010776908676372378
40.0,Travel_Rarely,299.0,Sales,25.0,4,Marketing,1,1318,4,Male,57,2,3,Sales Executive,2,Single,9094,17235,2,Y,Yes,12,3,3,80,0,9,2,3,5,4,1,0,0.6719368082300106
33.0,Travel_Rarely,118.0,Sales,16.0,3,Marketing,1,819,1,Female,69,3,2,Sales Executive,1,Single,5324,26507,5,Y,No,15,3,3,80,0,6,3,3,3,2,0,2,0.5537083488427733
50.0,Travel_Frequently,562.0,Sales,8.0,2,Technical Degree,1,723,2,Male,50,3,2,Sales Executive,3,Married,6796,23452,3,Y,Yes,14,3,1,80,1,18,4,3,4,3,1,3,0.5211827001311234
19.0,Non-Travel,504.0,Research & Development,10.0,3,Medical,1,1248,1,Female,96,2,1,Research Scientist,2,Single,1859,6148,1,Y,Yes,25,4,2,80,0,1,2,4,1,1,0,0,0.4851545453882132
46.0,Travel_Rarely,1009.0,Research & Development,2.0,3,Life Sciences,1,575,1,Male,51,3,4,Research Director,3,Married,17861,2288,6,Y,No,13,3,3,80,0,26,2,1,3,2,0,1,0.008883247910634724
31.0,Travel_Rarely,691.0,Research & Development,,4,Technical Degree,1,423,3,Male,86,3,1,Research Scientist,4,Married,4821,10077,0,Y,Yes,12,3,3,80,1,6,4,3,5,2,0,3,0.19634392080736257
51.0,Travel_Rarely,684.0,Research & Development,6.0,3,Life Sciences,1,162,1,Male,51,3,5,Research Director,3,Single,19537,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15,0.012772729140376393
34.0,Travel_Rarely,507.0,Sales,15.0,2,Medical,1,1356,3,Female,66,3,2,Sales Executive,1,Single,6125,23553,1,Y,No,12,3,4,80,0,10,6,4,10,8,9,6,0.05923061993595505
29.0,Travel_Rarely,1082.0,Research & Development,9.0,4,Medical,1,1709,4,Female,43,3,1,Laboratory Technician,3,Married,2974,25412,9,Y,No,17,3,3,80,1,9,2,3,5,3,1,2,0.13263131808648845
32.0,Travel_Frequently,1316.0,Research & Development,2.0,2,Life Sciences,1,1235,4,Female,38,3,2,Research Scientist,3,Single,4998,2338,4,Y,Yes,14,3,4,80,0,10,2,3,8,7,0,7,0.14798687810418693
40.0,Travel_Rarely,905.0,Research & Development,19.0,2,Medical,1,281,3,Male,99,3,2,Laboratory Technician,4,Married,2741,16523,8,Y,Yes,15,3,3,80,1,15,2,4,7,2,3,7,0.3275460351543942
33.0,Travel_Frequently,1303.0,Research & Development,7.0,2,Life Sciences,1,1970,4,Male,36,3,2,Healthcare Representative,3,Divorced,5968,18079,1,Y,No,20,4,3,80,3,9,2,3,9,7,2,8,0.00311866697044678
34.0,Travel_Rarely,970.0,Research & Development,8.0,2,Medical,1,757,2,Female,96,3,2,Healthcare Representative,3,Single,6142,7360,3,Y,No,11,3,4,80,0,10,2,3,5,1,4,3,0.04853729435388938
39.0,Travel_Frequently,711.0,Research & Development,4.0,3,Medical,1,1633,1,Female,81,3,2,Manufacturing Director,3,Single,5042,3140,0,Y,No,13,3,4,80,0,10,2,1,9,2,3,8,0.1756656804560622
45.0,Travel_Rarely,176.0,Human Resources,4.0,3,Life Sciences,1,1744,3,Female,56,1,3,Human Resources,3,Married,9756,6595,4,Y,No,21,4,3,80,2,9,2,4,5,0,0,3,0.08827167199749025
21.0,Travel_Rarely,1334.0,Research & Development,10.0,3,Life Sciences,1,1079,3,Female,36,2,1,Laboratory Technician,1,Single,1416,17258,1,Y,No,13,3,1,80,0,1,6,2,1,0,1,0,0.5511756327671622
31.0,Travel_Frequently,1445.0,Research & Development,1.0,5,Life Sciences,1,1459,3,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,Y,No,11,3,1,80,0,10,2,3,10,8,4,7,0.05008699003834939
50.0,Travel_Rarely,691.0,Research & Development,2.0,3,Medical,1,815,3,Male,64,3,4,Research Director,3,Married,17639,6881,5,Y,No,16,3,4,80,0,30,3,3,4,3,0,3,0.0007861456114596855
37.0,Travel_Rarely,1141.0,Research & Development,11.0,2,Medical,1,1033,1,Female,61,1,2,Healthcare Representative,2,Married,4777,14382,5,Y,No,15,3,1,80,0,15,2,1,1,0,0,0,0.17182375173281755
,Travel_Rarely,556.0,Research & Development,23.0,2,Life Sciences,1,261,2,Male,50,2,2,Manufacturing Director,3,Married,5916,15497,3,Y,Yes,13,3,1,80,0,8,1,3,1,0,0,1,0.5034995723357995
27.0,Travel_Rarely,1130.0,Sales,8.0,4,Marketing,1,458,2,Female,56,3,2,Sales Executive,2,Married,6214,3415,1,Y,No,18,3,1,80,1,8,3,3,8,7,0,7,0.034060105951185464
37.0,Travel_Rarely,783.0,Research & Development,7.0,4,Medical,1,1885,4,Male,78,3,2,Research Scientist,1,Married,4284,13588,5,Y,Yes,22,4,3,80,1,16,2,3,5,3,0,4,0.12689536708573557
,Travel_Rarely,1117.0,Research & Development,8.0,2,Life Sciences,1,395,4,Female,66,3,1,Research Scientist,4,Single,3310,4488,1,Y,No,21,4,4,80,0,5,3,3,5,3,0,2,0.010826597609287374
40.0,Travel_Rarely,898.0,Human Resources,6.0,2,Medical,1,1550,3,Male,38,3,4,Manager,4,Single,16437,17381,1,Y,Yes,21,4,4,80,0,21,2,3,21,7,7,7,0.15760818473674312
36.0,Travel_Rarely,335.0,Sales,17.0,2,Marketing,1,1908,3,Male,33,2,2,Sales Executive,2,Married,5507,16822,2,Y,No,16,3,3,80,2,12,1,1,4,2,1,3,0.17464774905296
46.0,Travel_Rarely,705.0,Sales,2.0,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,0.08179388124103887
37.0,Travel_Rarely,558.0,Sales,2.0,3,Marketing,1,656,4,Male,75,3,2,Sales Executive,3,Married,9602,3010,4,Y,Yes,11,3,3,80,1,17,3,2,3,0,1,0,0.259174901449126
,Travel_Rarely,776.0,Sales,1.0,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8,0.09078302142810704
29.0,Travel_Rarely,1329.0,Research & Development,7.0,3,Life Sciences,1,1260,3,Male,82,3,2,Healthcare Representative,4,Divorced,6623,4204,1,Y,Yes,11,3,2,80,2,6,2,3,6,0,1,0,0.07882828135338991
55.0,Travel_Rarely,,Research & Development,8.0,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,0.013778695745031518
34.0,Travel_Frequently,426.0,Research & Development,10.0,4,Life Sciences,1,1615,3,Male,42,4,2,Manufacturing Director,4,Divorced,4724,17000,1,Y,No,13,3,1,80,1,9,3,3,9,7,7,2,0.024232268240623647
34.0,Travel_Rarely,1111.0,Sales,8.0,2,Life Sciences,1,808,3,Female,93,3,2,Sales Executive,1,Married,6500,13305,5,Y,No,17,3,2,80,1,6,1,3,3,2,1,2,0.10921696535415648
36.0,Travel_Rarely,363.0,Research & Development,1.0,3,Technical Degree,1,1237,3,Female,77,1,3,Manufacturing Director,1,Divorced,10252,4235,2,Y,Yes,21,4,3,80,1,17,2,3,7,7,7,7,0.2604738109197342
30.0,Travel_Rarely,634.0,Research & Development,17.0,4,Medical,1,1321,2,Female,95,3,3,Manager,1,Married,11916,25927,1,Y,Yes,23,4,4,80,2,9,2,3,9,1,0,8,0.18978658517941882
53.0,Travel_Rarely,1223.0,Research & Development,7.0,2,Medical,1,1201,4,Female,50,3,5,Manager,3,Divorced,18606,18640,3,Y,No,18,3,2,80,1,26,6,3,7,7,4,7,0.0004976242817078286
39.0,Travel_Rarely,141.0,Human Resources,,3,Human Resources,1,760,3,Female,44,4,2,Human Resources,2,Married,6389,18767,9,Y,No,15,3,3,80,1,12,3,1,8,3,3,6,0.2609203925286601
58.0,Travel_Rarely,605.0,Sales,21.0,3,Life Sciences,1,1938,4,Female,72,3,4,Manager,4,Married,17875,11761,4,Y,Yes,13,3,3,80,1,29,2,2,1,0,0,0,0.011187969865840218
,Travel_Rarely,622.0,Sales,13.0,1,Medical,1,645,2,Male,40,3,1,Sales Representative,3,Married,2096,26376,1,Y,No,11,3,3,80,0,7,1,3,7,4,0,6,0.09865789775115201
29.0,Travel_Rarely,408.0,Sales,23.0,1,Life Sciences,1,1165,4,Female,45,2,3,Sales Executive,1,Married,7336,11162,1,Y,No,13,3,1,80,1,11,3,1,11,8,3,10,0.04331447233864134
44.0,Non-Travel,981.0,Research & Development,,3,Life Sciences,1,1471,3,Male,90,2,1,Laboratory Technician,3,Single,3162,7973,3,Y,No,14,3,4,80,0,7,5,3,5,2,0,3,0.06489245623496864
41.0,Travel_Rarely,1206.0,Sales,23.0,2,Life Sciences,1,1678,4,Male,80,3,3,Sales Executive,3,Single,7082,11591,3,Y,Yes,16,3,4,80,0,21,2,3,2,0,0,2,0.13086549350616472
44.0,,1112.0,Human Resources,1.0,4,Life Sciences,1,665,1,Female,50,2,2,Human Resources,3,Single,5985,26894,4,Y,No,11,3,2,80,0,10,1,4,2,2,0,2,0.023185579618702417
32.0,Travel_Rarely,638.0,Research & Development,8.0,2,Medical,1,865,3,Female,91,4,2,Research Scientist,3,Married,5175,22162,5,Y,No,12,3,3,80,1,9,3,2,5,3,1,3,0.020380917399207357
30.0,Travel_Frequently,721.0,Research & Development,1.0,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,0.04776725664339443
37.0,Travel_Rarely,1115.0,Research & Development,1.0,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,0.01342856091235403
21.0,Travel_Rarely,391.0,Research & Development,15.0,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,0.05532999989813098
39.0,Travel_Rarely,119.0,Sales,15.0,4,Marketing,1,1975,2,Male,77,3,4,Sales Executive,1,Single,13341,25098,0,Y,No,12,3,1,80,0,21,3,3,20,8,11,10,0.43247637171419073
30.0,Travel_Rarely,202.0,Sales,2.0,1,Technical Degree,1,508,3,Male,72,3,1,Sales Representative,2,Married,2476,17434,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0,0.4678273535332057
37.0,Travel_Rarely,1189.0,Sales,,3,Life Sciences,1,152,3,Male,87,3,3,Sales Executive,4,Single,7428,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3,0.04969312077301049
31.0,Travel_Rarely,1232.0,Research & Development,7.0,4,Medical,1,462,3,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Y,Yes,14,3,3,80,0,11,2,2,11,9,4,10,0.11718114588919369
29.0,,1246.0,Sales,19.0,3,Life Sciences,1,1497,3,Male,77,2,2,Sales Executive,3,Divorced,8620,23757,1,Y,No,14,3,3,80,2,10,3,3,10,7,0,4,0.0007501515064832713
37.0,Non-Travel,1063.0,Research & Development,25.0,5,Medical,1,529,2,Female,72,3,2,Research Scientist,3,Married,4449,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7,0.09200663432305033
47.0,Travel_Rarely,571.0,Sales,14.0,3,Medical,1,1503,3,Female,78,3,2,Sales Executive,3,Married,4591,24200,3,Y,Yes,17,3,3,80,1,11,4,2,5,4,1,2,0.12861339254000112
46.0,Travel_Rarely,1125.0,Sales,10.0,3,Marketing,1,580,3,Female,94,2,3,Sales Executive,4,Married,9071,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2,0.10000073151189763
55.0,Travel_Rarely,452.0,Research & Development,1.0,3,Medical,1,374,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Y,Yes,14,3,3,80,0,37,2,3,36,10,4,13,0.10327258450213184
,Travel_Rarely,950.0,Research & Development,,3,Medical,1,1121,4,Female,93,3,3,Manufacturing Director,2,Divorced,7655,8039,0,Y,No,17,3,2,80,3,10,3,2,9,7,1,7,0.0031926883372434232
49.0,Travel_Rarely,1184.0,Sales,11.0,3,Marketing,1,840,3,Female,43,3,3,Sales Executive,4,,7654,5860,1,Y,No,18,3,1,80,2,9,3,4,9,8,7,7,0.013866523876095086
27.0,Travel_Rarely,1291.0,Sales,11.0,3,Medical,1,1364,3,Female,98,4,1,Sales Representative,4,Married,2534,6527,8,Y,No,14,3,2,80,1,5,4,3,1,0,0,0,0.09421010951926678
48.0,Travel_Rarely,1355.0,Research & Development,4.0,4,Life Sciences,1,1024,3,Male,78,2,3,Healthcare Representative,3,Single,10999,22245,7,Y,No,14,3,2,80,0,27,3,3,15,11,4,8,0.01847785474774805
38.0,Travel_Rarely,770.0,Sales,10.0,4,Marketing,1,1119,3,Male,73,2,3,Sales Executive,3,Divorced,8740,5569,0,Y,Yes,14,3,2,80,2,9,2,3,8,7,2,7,0.1277995491543714
46.0,Non-Travel,1144.0,Research & Development,7.0,4,Medical,1,487,3,Female,30,3,2,Manufacturing Director,3,Married,5258,16044,2,Y,No,14,3,3,80,0,7,2,4,1,0,0,0,0.005148902887552878
32.0,Travel_Frequently,1318.0,Sales,10.0,4,Marketing,1,1853,4,Male,79,3,2,Sales Executive,4,Single,4648,26075,8,Y,No,13,3,3,80,0,4,2,4,0,0,0,0,0.45186614522058627
37.0,Travel_Rarely,397.0,Research & Development,7.0,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,0.04094716680765562
45.0,Travel_Rarely,252.0,Research & Development,1.0,3,Other,1,336,3,Male,70,4,5,Manager,4,Married,19202,15970,0,Y,No,11,3,3,80,1,25,2,3,24,0,1,7,0.009231852217461802
,Travel_Rarely,763.0,Sales,15.0,2,Medical,1,1645,1,Male,59,1,2,Sales Executive,4,Divorced,5440,22098,6,Y,Yes,14,3,4,80,2,7,2,2,2,2,2,2,0.7105099556518064
45.0,Travel_Rarely,1015.0,Research & Development,,5,Medical,1,1611,3,Female,50,1,2,Laboratory Technician,1,Single,5769,23447,1,Y,Yes,14,3,1,80,0,10,3,3,10,7,1,4,0.7525898661108229
31.0,Non-Travel,1188.0,Sales,20.0,2,Marketing,1,947,4,Female,45,3,2,Sales Executive,3,Married,6932,24406,1,Y,No,13,3,4,80,1,9,2,2,9,8,0,0,0.006441248882021201
30.0,Travel_Rarely,1176.0,Research & Development,20.0,3,Other,1,1084,3,Male,85,3,2,Manufacturing Director,1,Married,9957,9096,0,Y,No,15,3,3,80,1,7,1,2,6,2,0,2,0.05004930127552714
38.0,Travel_Frequently,1490.0,Research & Development,2.0,2,Life Sciences,1,556,4,Male,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0,0.29622319458450963
45.0,Travel_Rarely,1316.0,Research & Development,29.0,3,Medical,1,192,3,Male,83,3,1,Research Scientist,4,Single,3452,9752,5,Y,No,13,3,2,80,0,9,2,2,6,5,0,3,0.05746152047688084
59.0,Travel_Frequently,1225.0,Sales,1.0,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,0.22556095185386557
29.0,Travel_Rarely,1389.0,Research & Development,21.0,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,0.012591900795586856
49.0,Travel_Rarely,809.0,Research & Development,1.0,3,Life Sciences,1,1677,3,Male,36,3,4,Manager,3,Single,15379,22384,4,Y,No,14,3,1,80,0,23,2,3,8,7,0,0,0.019647762110173654
33.0,Travel_Rarely,1099.0,Research & Development,4.0,4,Medical,1,1502,1,Female,82,2,1,Laboratory Technician,2,Married,3838,8192,8,Y,No,11,3,4,80,0,8,5,3,5,4,0,2,0.22847734341529313
56.0,Travel_Rarely,1255.0,Research & Development,1.0,2,Life Sciences,1,1441,1,Female,90,3,1,Research Scientist,1,Married,2066,10494,2,Y,No,22,4,4,80,1,5,3,4,3,2,1,0,0.020563560343167947
34.0,Travel_Rarely,943.0,Research & Development,9.0,3,Life Sciences,1,1344,4,Male,86,3,3,Healthcare Representative,4,Divorced,8500,5494,0,Y,No,11,3,4,80,1,10,0,2,9,7,1,6,0.0014670484008468432
51.0,Travel_Frequently,968.0,Research & Development,6.0,2,Medical,1,1297,2,Female,40,2,1,Laboratory Technician,3,Single,2838,4257,0,Y,No,14,3,2,80,0,8,6,2,7,0,7,7,0.45435681204898054
53.0,Non-Travel,661.0,Research & Development,1.0,4,Medical,1,1775,1,Female,60,2,4,Manufacturing Director,3,Married,12965,22308,4,Y,Yes,20,4,4,80,3,27,2,2,3,2,0,2,0.024911813971122684
